[2026-02-20 15:28:19] Kalshi Scanner Bot starting...
[2026-02-20 15:28:19] PID: 82008
[2026-02-20 15:28:21] Current balance: $0.30
[2026-02-20 15:28:23] Current balance: $0.30
[2026-02-20 15:28:34] Current balance: $0.30
[2026-02-20 15:28:48] Current balance: $0.30
[2026-02-20 15:29:06] Current balance: $0.30
[2026-02-20 15:29:22] Current balance: $0.30
[2026-02-20 15:29:39] Current balance: $0.30
[2026-02-20 15:29:58] Current balance: $0.30
[2026-02-20 15:30:21] Current balance: $0.30
[2026-02-20 15:30:40] Current balance: $0.30
[2026-02-20 15:30:52] Current balance: $0.30
[2026-02-20 15:31:03] Current balance: $0.30
[2026-02-20 15:31:15] Current balance: $0.30
[2026-02-20 15:31:31] Current balance: $0.30
[2026-02-20 15:31:48] Current balance: $0.30
[2026-02-20 15:31:58] Current balance: $0.30
[2026-02-20 15:32:14] Current balance: $0.30
[2026-02-20 15:32:31] Current balance: $0.30
[2026-02-20 15:32:49] Current balance: $0.30
[2026-02-20 15:33:22] Current balance: $0.30
[2026-02-20 15:33:51] Current balance: $0.30
[2026-02-20 15:34:10] Current balance: $0.30
[2026-02-20 15:34:29] Current balance: $0.30
[2026-02-20 15:34:47] Current balance: $0.30
[2026-02-20 15:35:11] Current balance: $0.30
[2026-02-20 15:35:30] Current balance: $0.30
[2026-02-20 15:35:46] Current balance: $0.30
[2026-02-20 15:36:03] Current balance: $0.30
[2026-02-20 15:36:19] Current balance: $0.30
[2026-02-20 15:36:38] Current balance: $0.30
[2026-02-20 15:36:56] Current balance: $0.30
[2026-02-20 15:37:35] Current balance: $0.30
[2026-02-20 15:38:07] Current balance: $0.30
[2026-02-20 15:38:42] Current balance: $0.30
[2026-02-20 15:39:16] Current balance: $0.30
[2026-02-20 15:39:49] Current balance: $0.30
[2026-02-20 15:40:12] Current balance: $0.30
[2026-02-20 15:40:23] Current balance: $0.30
[2026-02-20 15:40:34] Current balance: $0.30
[2026-02-20 15:41:07] Current balance: $0.30
[2026-02-20 15:42:01] Current balance: $0.27
[2026-02-20 15:43:04] Current balance: $0.27
[2026-02-20 15:43:51] Current balance: $0.27
[2026-02-20 15:44:38] Current balance: $0.27
[2026-02-20 15:45:17] Current balance: $0.27
[2026-02-20 15:45:56] Current balance: $0.27
[2026-02-20 15:46:27] Current balance: $0.27
[2026-02-20 15:46:38] Current balance: $0.27
[2026-02-20 15:46:43] Received signal 2, shutting down...
[2026-02-20 15:46:48] Kalshi Scanner Bot stopped
